Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15036726,BOLT---,BOLT,螺栓,5.19,,,NTE200,050-0040
15036880,,BOLT,螺栓,,,,NTE200,090-0140
15036904,BOLT---,BOLT,螺栓,3.47,,,NTE200,090-0050
15036996,,NUT,螺母,,,,NTE200,050-0020
15037063,,BOLT,螺栓,,,,NTE200,090-0140
15037109,BOLT---,BOLT,螺钉,3.47,,,NTE200,030-0190
15037117,BOLT---,SCREW,螺钉,3.47,,,NTE200,030-0200 090-0050
15037124,COTTER PIN,SPLIT PIN,开口销,0.78,,,NTE200,100-0250
15037148,,BOLT,螺栓,,,,NTE200,050-0020
15037168,BOLT---,BOLT,螺钉,15.58,,,NTE200,050-0090
15037228,,NUT,六角螺母C 级,,,,NTE200,100-0120
15037266,BOLT---,BOLT,螺栓,3.47,,,NTE200,020-0040
15037361,BOLT---,BOLT,螺栓,3.47,,,NTE200,090-0140
15037464,BOLT---,BOLT,螺栓,13.86,Метизы,,NTE200,050-0020
15037491,BOLT---,BOLT,螺栓,20.78,,,NTE200,050-0090
15037496,,SCREW,螺钉,,,,NTE200,100-0120
15037502,PIN---,PIN,销子,27.69,,,NTE200,070-0040
15037510,SCREW---,SCREW,螺钉,21.09,Гидравлическая система,,NTE200,050-0020 050-0250
15037512,NUT-ACORN---,NUT ACORN,盖形螺母,24.95,,,NTE200,070-0040
15037575,,BOLT BRACKET,螺栓,,,,NTE200,080-0010
15037580,,BOLT,螺栓,,,,NTE200,080-0000
15037587,U-BOLT-,U U CLAMP,型夹子,13.86,,,NTE200,090-0150 090-0160
15037589,,SCREW,螺钉,,,,NTE200,090-0050 100-0120
15037624,,EYEBOLT,吊环,,,,NTE200,090-0010
15037636,,WASHER,垫片,,,,NTE200,080-0000
15037646,BOLT,BOLT,螺栓,98.5,Кузов,,NTE200,040-0000
15037704,BOLT,BOLT,螺钉,20.17,Кабина,,NTE200,090-0050
15037714,,WASHER,垫片,,,,NTE200,080-0000
15037796,,BOLT,螺栓,,,,NTE200,080-0000
15037804,,BOLT,螺栓,,,,NTE200,040-0040
15037808,,BOLT,螺栓,,,,NTE200,020-0010
15037809,,BOLT,螺栓,,,,NTE200,020-0010
15037816,,SCREW,螺钉,,,,NTE200,100-0030
15037818,PINSPRING,PIN SPRING,弹簧销,77.53,,,NTE200,070-0040
15037820,,WASHER PLAIN,垫片,,,,NTE200,020-0010 040-0000 070-0070
15037833,,BOLT,螺栓,,,,NTE200,070-0040
15037856,,GASKET,垫片,,,,NTE200,020-0010
15037858,,GASKET,垫片,,,,NTE200,020-0010
15037866,,NUT,螺母,,,,NTE200,080-0000
15037886,,BOLT,螺栓,,,,NTE200,020-0040
15037890,,BOLT,螺栓,,,,NTE200,020-0010
15037891,,BOLT,螺栓,,,,NTE200,080-0000
15038011,,BOLT,螺栓,,,,NTE200,050-0110 050-0180
15041177,COVER-BOARD--,COVER BOARD,盖板,1.2,Кабина,,NTE200,090-0050
15041865,,RED DECORATIVE PAINT,红色装饰漆,,,,NTE200,100-0190
15042116,WASHER-SEAL---,WASHER-SEAL,组合垫圈,21.09,,,NTE200,030-0190
15226869,,CABLE,启动机地线,,,,NTE200,030-0040
15230178,PLUG-OIL LEVEL,WINDOW NUT,视窗螺母,202.18,,,NTE200,100-0270
15232081,,CLAP,夹子,,,,NTE200,020-0040
15236118,,ADAPTER,接头,,,,NTE200,080-0000
15237161,COMB-SWITCH--,COMB SWITCH,组合开关,406.23,Электрооборудование,,NTE200,090-0050
15244364,,RUBBER SEAL,橡胶封条,,,,NTE200,210-0423
15244929,,ADAPTOR,接头,,,,NTE200,050-0090
15251936,ADAPTER,ADAPTER,接头,22.79,Гидравлическая система,,NTE200,050-0040 050-0170
15251938,ADAPTOR,JOINT,接头,8.39,,,NTE200,050-0170
15251939,ADAPTER---,ADAPTER,接头,57.54,,,NTE200,050-0020
15251944,,ELBOW,弯头,,,,NTE200,050-0090 050-0170
15251982,JOINT,ADAPTOR,接头,9.59,Гидравлическая система,,NTE200,050-0090
15252695,,JOINT,接头,,,,NTE200,050-0170
15252849,,ADAPTOR,接头,,,,NTE200,050-0090
15252902,CONNECTOR---,TEE,三通,627.12,,,NTE200,050-0090 050-0170
15252983,ELBOW,ELBOW,弯头,29.98,Гидравлическая система,,NTE200,050-0090 050-0170
15252996,Уголок,JOINT,接头,84.79,,,NTE200,050-0170
15253039,PIPE CONNECTION,ADAPTOR,接头,20.39,Гидравлическая система,,NTE200,050-0090 050-0170
15253042,,JOINT,接头,,,,NTE200,050-0170
